Title,City,State,Group,Ideology,Headquarters,Statewide,Year,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Mission: America",Columbus,Ohio,,Anti-LGBT,Yes,,2018,40.100924,-83.013402,1,place,,,Columbus,OH,"Franklin County",43085,US,"TIGER/Line® dataset from the US Census Bureau"
"Pacific Justice Institute",Sacramento,California,"Pacific Justice Institute",Anti-LGBT,Yes,,2018,38.380456,-121.555406,1,place,,,Sacramento,CA,"Sacramento County",94203,US,"TIGER/Line® dataset from the US Census Bureau"
"Pass the Salt Ministries",Hebron,Ohio,,Anti-LGBT,Yes,,2018,39.974804,-82.511108,1,place,,,Hebron,OH,"Licking County",43025,US,"TIGER/Line® dataset from the US Census Bureau"
"Pilgrims Covenant Church",Monroe,Wisconsin,,Anti-LGBT,Yes,,2018,42.612966,-89.656994,1,place,,,Monroe,WI,"Green County",53566,US,"TIGER/Line® dataset from the US Census Bureau"
"Pray in Jesus Name Project, The","Colorado Springs",Colorado,,Anti-LGBT,Yes,,2018,38.861469,-104.857828,1,place,,,"Colorado Springs",CO,"El Paso County",80901,US,"TIGER/Line® dataset from the US Census Bureau"
"Probe Ministries",Plano,Texas,,Anti-LGBT,Yes,,2018,33.056756,-96.730831,1,place,,,Plano,TX,"Collin County",75023,US,"TIGER/Line® dataset from the US Census Bureau"
"Public Advocate of the United States",Merrifield,Virginia,,Anti-LGBT,Yes,,2018,38.873861,-77.234454,1,place,,,Merrifield,VA,"Fairfax County",22081,US,"TIGER/Line® dataset from the US Census Bureau"
"Ruth Institute","Lake Charles",Louisiana,"Ruth Institute",Anti-LGBT,Yes,,2018,30.233355,-93.214903,1,place,,,"Lake Charles",LA,"Calcasieu Parish",70601,US,"TIGER/Line® dataset from the US Census Bureau"
"Save California",Sacramento,California,,Anti-LGBT,Yes,,2018,38.380456,-121.555406,1,place,,,Sacramento,CA,"Sacramento County",94203,US,"TIGER/Line® dataset from the US Census Bureau"
"Stedfast Baptist Church",Jacksonville,Florida,,Anti-LGBT,,,2018,30.337538,-81.768622,1,place,,,Jacksonville,FL,"Duval County",32099,US,"TIGER/Line® dataset from the US Census Bureau"
"Stedfast Baptist Church","Fort Worth",Texas,,Anti-LGBT,Yes,,2018,32.771419,-97.291484,1,place,,,"Fort Worth",TX,"Tarrant County",76101,US,"TIGER/Line® dataset from the US Census Bureau"
"Sure Foundation Baptist Church",Vancouver,Washington,,Anti-LGBT,Yes,,2018,45.678996,-122.720499,1,place,,,Vancouver,WA,"Clark County",98660,US,"TIGER/Line® dataset from the US Census Bureau"
"Tom Brown Ministries","El Paso",Texas,,Anti-LGBT,Yes,,2018,31.763608,-106.484592,1,place,,,"El Paso",TX,"El Paso County",79901,US,"TIGER/Line® dataset from the US Census Bureau"
"True Light Pentecost Church",Spartanburg,"South Carolina",,Anti-LGBT,Yes,,2018,34.934028,-82.010697,1,place,,,Spartanburg,SC,"Spartanburg County",29301,US,"TIGER/Line® dataset from the US Census Bureau"
"United Families International",Gilbert,Arizona,,Anti-LGBT,Yes,,2018,33.335401,-111.815281,1,place,,,Gilbert,AZ,"Maricopa County",85233,US,"TIGER/Line® dataset from the US Census Bureau"
"Verity Baptist Church",Sacramento,California,,Anti-LGBT,Yes,,2018,38.380456,-121.555406,1,place,,,Sacramento,CA,"Sacramento County",94203,US,"TIGER/Line® dataset from the US Census Bureau"
"Warriors for Christ",Martinsburg,"West Virginia",,Anti-LGBT,Yes,,2018,39.456903,-77.972754,1,place,,,Martinsburg,WV,"Berkeley County",25401,US,"TIGER/Line® dataset from the US Census Bureau"
"Westboro Baptist Church",Topeka,Kansas,"Westboro Baptist Church",Anti-LGBT,Yes,,2018,38.988075,-95.780662,1,place,,,Topeka,KS,"Shawnee County",66601,US,"TIGER/Line® dataset from the US Census Bureau"
"World Congress of Families/International Organization for the Family",Rockford,Illinois,"World Congress of Families",Anti-LGBT,Yes,,2018,42.33342,-89.157198,1,place,,,Rockford,IL,"Winnebago County",61101,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Jonesboro,Arkansas,"ACT for America ",Anti-Muslim,,,2018,35.835847,-90.623071,1,place,,,Jonesboro,AR,"Craighead County",72401,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Tucson,Arizona,"ACT for America ",Anti-Muslim,,,2018,32.217975,-110.970869,1,place,,,Tucson,AZ,"Pima County",85701,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Corona,California,"ACT for America ",Anti-Muslim,,,2018,33.752886,-116.055617,1,place,,,Corona,CA,"Riverside County",91718,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Mission Viejo",California,"ACT for America ",Anti-Muslim,,,2018,33.640302,-117.769442,1,place,,,"Mission Viejo",CA,"Orange County",92690,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Los Angeles",California,"ACT for America ",Anti-Muslim,,,2018,33.973951,-118.248405,1,place,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Upland,California,"ACT for America ",Anti-Muslim,,,2018,34.141146,-117.655583,1,place,,,Upland,CA,"San Bernardino County",91784,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",,California,"ACT for America ",Anti-Muslim,,Yes,2018,37.155177,-119.543418,1,state,,,,CA,,,US,"US Census Bureau"
"ACT for America","Riverside County",California,"ACT for America ",Anti-Muslim,,,2018,33.99504,-117.373184,1,place,,,Riverside,CA,"Riverside County",92501,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Santa Clarita",California,"ACT for America ",Anti-Muslim,,,2018,34.440891,-118.501748,1,place,,,"Santa Clarita",CA,"Los Angeles County",91350,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Laguna Woods",California,"ACT for America ",Anti-Muslim,,,2018,33.591304,-117.697512,0.8,place,,,"Laguna Woods",CA,"Orange County",92653,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Denver,Colorado,"ACT for America ",Anti-Muslim,,,2018,39.760189,-104.996553,1,place,,,Denver,CO,"Denver County",80202,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",,Connecticut,"ACT for America ",Anti-Muslim,,Yes,2018,41.579778,-72.746667,1,state,,,,CT,,,US,"US Census Bureau"
"ACT for America",Cheshire,Connecticut,"ACT for America ",Anti-Muslim,,,2018,41.365709,-72.927507,1,place,,,Cheshire,CT,"New Haven County",06408,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Bear,Delaware,"ACT for America ",Anti-Muslim,,,2018,39.594736,-75.693903,1,place,,,Bear,DE,"New Castle County",19701,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Washington,"District of Columbia","ACT for America ",Anti-Muslim,Yes,,2018,38.911936,-77.016719,1,place,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Heathrow,Florida,"ACT for America ",Anti-Muslim,,,2018,0,0,0,,,,,,,,,
"ACT for America",Jacksonville,Florida,"ACT for America ",Anti-Muslim,,,2018,30.337538,-81.768622,1,place,,,Jacksonville,FL,"Duval County",32099,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Meridian,Idaho,"ACT for America ",Anti-Muslim,,,2018,43.579067,-116.421656,1,place,,,Meridian,ID,"Ada County",83642,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Des Plaines",Illinois,"ACT for America ",Anti-Muslim,,,2018,42.048278,-87.890466,1,place,,,"Des Plaines",IL,"Cook County",60016,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Lafayette,Indiana,"ACT for America ",Anti-Muslim,,,2018,40.417778,-86.889633,1,place,,,Lafayette,IN,"Tippecanoe County",47901,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Terre Haute",Indiana,"ACT for America ",Anti-Muslim,,,2018,39.433602,-87.410094,1,place,,,"Terre Haute",IN,"Vigo County",47801,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Baton Rouge",Louisiana,"ACT for America ",Anti-Muslim,,,2018,30.44924,-91.185607,1,place,,,"Baton Rouge",LA,"East Baton Rouge Parish",70801,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Metairie,Louisiana,"ACT for America ",Anti-Muslim,,,2018,29.984643,-90.161821,1,place,,,Metairie,LA,"Jefferson Parish",70001,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Norway,Maine,"ACT for America ",Anti-Muslim,,,2018,44.21396,-70.54478,1,place,,,Norway,ME,"Oxford County",04268,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Cape Cod",Massachusetts,"ACT for America ",Anti-Muslim,,,2018,42.15652,-71.489592,1,state,,,,MA,,,US,"US Census Bureau"
"ACT for America",Boston,Massachusetts,"ACT for America ",Anti-Muslim,Yes,,2018,42.370567,-71.026964,1,place,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Kansas City",Missouri,"ACT for America ",Anti-Muslim,,,2018,39.102404,-94.598583,1,place,,,"Kansas City",MO,"Jackson County",64101,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Minneapolis,Minnesota,"ACT for America ",Anti-Muslim,,,2018,44.984577,-93.269097,1,place,,,Minneapolis,MN,"Hennepin County",55401,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Whitehall,Montana,"ACT for America ",Anti-Muslim,,,2018,45.996345,-112.088845,1,place,,,Whitehall,MT,"Jefferson County",59759,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Fayetteville,"North Carolina","ACT for America ",Anti-Muslim,,,2018,35.0748,-78.884257,1,place,,,Fayetteville,NC,"Cumberland County",28301,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Hopkinton,"New Hampshire","ACT for America ",Anti-Muslim,,,2018,43.191469,-71.675353,0.8,place,,,Hopkinton,NH,"Merrimack County",03229,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Hauppauge,"New York","ACT for America ",Anti-Muslim,,,2018,40.810246,-73.191789,1,place,,,Hauppauge,NY,"Suffolk County",11760,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Nashua,"New Hampshire","ACT for America ",Anti-Muslim,,,2018,42.741295,-71.458793,1,place,,,Nashua,NH,"Hillsborough County",03060,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Columbus,Ohio,"ACT for America ",Anti-Muslim,,,2018,40.100924,-83.013402,1,place,,,Columbus,OH,"Franklin County",43085,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Cincinnati,Ohio,"ACT for America ",Anti-Muslim,,,2018,39.166759,-84.53822,1,place,,,Cincinnati,OH,"Hamilton County",45201,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Cleveland,Ohio,"ACT for America ",Anti-Muslim,,,2018,41.489381,-81.667486,1,place,,,Cleveland,OH,"Cuyahoga County",44101,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Pittsburgh,Pennsylvania,"ACT for America ",Anti-Muslim,,,2018,40.47441,-79.950968,1,place,,,Pittsburgh,PA,"Allegheny County",15201,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Rapid City","South Dakota","ACT for America ",Anti-Muslim,,,2018,44.145868,-103.206866,1,place,,,"Rapid City",SD,"Pennington County",57701,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Coffee County",Tennessee,"ACT for America ",Anti-Muslim,,,2018,0,0,0,,,,,,,,,
"ACT for America",Austin,Texas,"ACT for America ",Anti-Muslim,,,2018,30.326374,-97.771258,1,place,,,Austin,TX,"Travis County",73301,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Knoxville,Tennessee,"ACT for America ",Anti-Muslim,,,2018,36.032334,-83.884804,1,place,,,Knoxville,TN,"Knox County",37901,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Houston,Texas,"ACT for America ",Anti-Muslim,,,2018,29.813142,-95.309789,1,place,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Leesburg,Virginia,"ACT for America ",Anti-Muslim,Yes,,2018,39.041987,-77.605404,1,place,,,Leesburg,VA,"Loudoun County",20175,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Virginia Beach",Virginia,"ACT for America ",Anti-Muslim,,,2018,36.844004,-76.12036,1,place,,,"Virginia Beach",VA,"Virginia Beach city",23450,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","Spokane Valley",Washington,"ACT for America ",Anti-Muslim,,,2018,47.629296,-117.254657,0.8,place,,,"Spokane Valley",WA,"Spokane County",99206,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America","South Charleston","West Virginia","ACT for America ",Anti-Muslim,,,2018,38.368429,-81.69957,0.9,place,,,"South Charleston",WV,"Kanawha County",25303,US,"TIGER/Line® dataset from the US Census Bureau"
"ACT for America",Oostburg,Wisconsin,"ACT for America ",Anti-Muslim,,,2018,43.620857,-87.810616,1,place,,,Oostburg,WI,"Sheboygan County",53070,US,"TIGER/Line® dataset from the US Census Bureau"
"American Freedom Alliance","Los Angeles",California,,Anti-Muslim,Yes,,2018,33.973951,-118.248405,1,place,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
"American Freedom Defense Initiative","New York","New York",,Anti-Muslim,Yes,,2018,40.68863,-74.018244,1,place,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"American Freedom Law Center","Ann Arbor",Michigan,,Anti-Muslim,Yes,,2018,42.266638,-83.849042,1,place,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"American Public Policy Alliance",Washington,"District of Columbia",,Anti-Muslim,,,2018,38.911936,-77.016719,1,place,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"Bomb Islam",Phoenix,Arizona,,Anti-Muslim,,,2018,33.703967,-112.351835,1,place,,,Phoenix,AZ,"Maricopa County",85001,US,"TIGER/Line® dataset from the US Census Bureau"
"Bureau on American Islamic Relations",Irving,Texas,,Anti-Muslim,Yes,,2018,32.767268,-96.777626,1,place,,,Irving,TX,"Dallas County",75014,US,"TIGER/Line® dataset from the US Census Bureau"
"Center for Security Policy",Washington,"District of Columbia","Center for Security Policy",Anti-Muslim,Yes,,2018,38.911936,-77.016719,1,place,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"Christian Action Network",Forest,Virginia,,Anti-Muslim,Yes,,2018,37.372437,-79.318718,1,place,,,Forest,VA,"Bedford County",24551,US,"TIGER/Line® dataset from the US Census Bureau"
"Citizens for National Security","Boca Raton",Florida,,Anti-Muslim,Yes,,2018,26.375954,-80.10717,1,place,,,"Boca Raton",FL,"Palm Beach County",33427,US,"TIGER/Line® dataset from the US Census Bureau"
"Citizens for the St. Croix Valley",Hudson,Wisconsin,,Anti-Muslim,,,2018,44.97469,-92.75687,1,place,,,Hudson,WI,"St. Croix County",54016,US,"TIGER/Line® dataset from the US Census Bureau"
"Citizens' Action Group of South Florida",Hollywood,Florida,,Anti-Muslim,Yes,,2018,26.027459,-80.120219,1,place,,,Hollywood,FL,"Broward County",33019,US,"TIGER/Line® dataset from the US Census Bureau"
"Clarion Project",Washington,"District of Columbia",,Anti-Muslim,Yes,,2018,38.911936,-77.016719,1,place,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"Counter Jihad Coalition","Santa Monica",California,,Anti-Muslim,Yes,,2018,34.013666,-118.49375,1,place,,,"Santa Monica",CA,"Los Angeles County",90401,US,"TIGER/Line® dataset from the US Census Bureau"
"Cultures In Context Incorporated/Turning Point Project",Immokalee,Florida,,Anti-Muslim,,,2018,26.18437,-81.415175,1,place,,,Immokalee,FL,"Collier County",34142,US,"TIGER/Line® dataset from the US Census Bureau"
"David Horowitz Freedom Center","Los Angeles",California,,Anti-Muslim,,,2018,33.973951,-118.248405,1,place,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
"Faith Leaders for America",Washington,"District of Columbia",,Anti-Muslim,,,2018,38.911936,-77.016719,1,place,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"Family Security Matters",Washington,"District of Columbia","Family Security Matters",Anti-Muslim,Yes,,2018,38.911936,-77.016719,1,place,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"Florida Family Association",Tampa,Florida,,Anti-Muslim,Yes,,2018,27.996097,-82.582035,1,place,,,Tampa,FL,"Hillsborough County",33601,US,"TIGER/Line® dataset from the US Census Bureau"
"Fortress of Faith",Bellingham,Washington,,Anti-Muslim,,,2018,48.754092,-122.508129,1,place,,,Bellingham,WA,"Whatcom County",98225,US,"TIGER/Line® dataset from the US Census Bureau"
"Foundation for Advocating Christian Truth",Bronx,"New York",,Anti-Muslim,,,2018,40.863028,-73.799802,1,place,,,Bronx,NY,"Bronx County",10464,US,"TIGER/Line® dataset from the US Census Bureau"
"G416 Patriots",Meridian,Idaho,,Anti-Muslim,,,2018,43.579067,-116.421656,1,place,,,Meridian,ID,"Ada County",83642,US,"TIGER/Line® dataset from the US Census Bureau"
"G416 Patriots",Boerne,Texas,,Anti-Muslim,,,2018,29.893137,-98.685719,1,place,,,Boerne,TX,"Kendall County",78006,US,"TIGER/Line® dataset from the US Census Bureau"
"Glasov Gang Productions","Los Angeles",California,,Anti-Muslim,,,2018,33.973951,-118.248405,1,place,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
"Global Faith Institute",Omaha,Nebraska,,Anti-Muslim,,,2018,41.291736,-96.171104,1,place,,,Omaha,NE,"Douglas County",68101,US,"TIGER/Line® dataset from the US Census Bureau"
"Jihad Watch","Sherman Oaks",California,,Anti-Muslim,Yes,,2018,34.147149,-118.463365,1,place,,,"Sherman Oaks",CA,"Los Angeles County",91403,US,"TIGER/Line® dataset from the US Census Bureau"
