Title,City,State,Group,Ideology,Headquarters,Statewide,Year,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Soldiers of Odin",Denver,Colorado,,Anti-Muslim,,,2018,39.760189,-104.996553,1,place,,,Denver,CO,"Denver County",80202,US,"TIGER/Line® dataset from the US Census Bureau"
"Soldiers of Odin",,Illinois,,Anti-Muslim,,Yes,2018,40.102875,-89.152611,1,state,,,,IL,,,US,"US Census Bureau"
"Southeast Michigan Tea Party",Utica,Michigan,,Anti-Muslim,,,2018,42.671025,-82.998811,1,place,,,Utica,MI,"Macomb County",48315,US,"TIGER/Line® dataset from the US Census Bureau"
"Straight Way and More, The",Venice,Florida,,Anti-Muslim,,,2018,27.167521,-82.380967,1,place,,,Venice,FL,"Sarasota County",34284,US,"TIGER/Line® dataset from the US Census Bureau"
"Sunshine on Government (SONG) Alliance",Newton,Georgia,,Anti-Muslim,Yes,,2018,34.021211,-84.269923,0.8,place,,,Newtown,GA,"Fulton County",30201,US,"TIGER/Line® dataset from the US Census Bureau"
"Truth in Love Project",Chattaroy,Washington,,Anti-Muslim,Yes,,2018,47.92167,-117.262989,1,place,,,Chattaroy,WA,"Spokane County",99003,US,"TIGER/Line® dataset from the US Census Bureau"
"Truth in Textbooks",Boerne,Texas,,Anti-Muslim,,,2018,29.893137,-98.685719,1,place,,,Boerne,TX,"Kendall County",78006,US,"TIGER/Line® dataset from the US Census Bureau"
"Unconstrained Analytics",Washington,"District of Columbia",,Anti-Muslim,,,2018,38.911936,-77.016719,1,place,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"Understanding the Threat",Dallas,Texas,,Anti-Muslim,Yes,,2018,32.781179,-96.790329,1,place,,,Dallas,TX,"Dallas County",75201,US,"TIGER/Line® dataset from the US Census Bureau"
"United West, The","Lake Worth",Florida,,Anti-Muslim,Yes,,2018,26.645895,-80.430269,1,place,,,"Lake Worth",FL,"Palm Beach County",33454,US,"TIGER/Line® dataset from the US Census Bureau"
"Virginia Christian Alliance",Henrico,Virginia,,Anti-Muslim,,,2018,0,0,0,,,,,,,,,
"All Eyes On Egypt Bookstore",Macon,Georgia,,"Black Nationalist",Yes,,2018,32.804382,-83.617554,1,place,,,Macon,GA,"Bibb County",31201,US,"TIGER/Line® dataset from the US Census Bureau"
"Ambassadors of Christ",Brooklyn,"New York",,"Black Nationalist",Yes,,2018,40.63122,-73.941542,1,street_center,,"Brooklyn Rd",Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
"Ancient Egyptian Distribution Company","Jersey City","New Jersey",,"Black Nationalist",Yes,,2018,40.73276,-74.075485,1,place,,,"Jersey City",NJ,"Hudson County",07097,US,"TIGER/Line® dataset from the US Census Bureau"
"Army of Israel",Orlando,Florida,,"Black Nationalist",,,2018,28.545179,-81.373291,1,place,,,Orlando,FL,"Orange County",32801,US,"TIGER/Line® dataset from the US Census Bureau"
"Army of Israel",,Missouri,,"Black Nationalist",,Yes,2018,38.35075,-92.456783,1,state,,,,MO,,,US,"US Census Bureau"
"Army of Israel",Cleveland,Ohio,,"Black Nationalist",Yes,,2018,41.489381,-81.667486,1,place,,,Cleveland,OH,"Cuyahoga County",44101,US,"TIGER/Line® dataset from the US Census Bureau"
"Black Riders Liberation Party",Oakland,California,,"Black Nationalist",Yes,,2018,37.786027,-122.223779,1,place,,,Oakland,CA,"Alameda County",94601,US,"TIGER/Line® dataset from the US Census Bureau"
"Black Riders Liberation Party","Los Angeles",California,,"Black Nationalist",Yes,,2018,33.973951,-118.248405,1,place,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
"Black Riders Liberation Party","Las Vegas",Nevada,,"Black Nationalist",,,2018,36.17372,-115.10647,1,place,,,"Las Vegas",NV,"Clark County",89101,US,"TIGER/Line® dataset from the US Census Bureau"
"Black Riders Liberation Party","New York","New York",,"Black Nationalist",,,2018,40.68863,-74.018244,1,place,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Black Riders Liberation Party",Portland,Oregon,,"Black Nationalist",,,2018,45.507856,-122.690794,1,place,,,Portland,OR,"Multnomah County",97201,US,"TIGER/Line® dataset from the US Census Bureau"
"Black Riders Liberation Party",Houston,Texas,,"Black Nationalist",,,2018,29.813142,-95.309789,1,place,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Birmingham,Alabama,,"Black Nationalist",,,2018,33.456412,-86.801904,1,place,,,Birmingham,AL,"Jefferson County",35201,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone","Los Angeles",California,,"Black Nationalist",,,2018,33.973951,-118.248405,1,place,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Miami,Florida,,"Black Nationalist",,,2018,25.558428,-80.458168,1,place,,,Miami,FL,"Miami-Dade County",33231,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Tampa,Florida,,"Black Nationalist",,,2018,27.996097,-82.582035,1,place,,,Tampa,FL,"Hillsborough County",33601,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Atlanta,Georgia,,"Black Nationalist",,,2018,33.844371,-84.47405,1,place,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Honolulu,Hawaii,,"Black Nationalist",,,2018,24.859832,-168.021815,1,place,,,Honolulu,HI,"Honolulu County",96801,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Chicago,Illinois,,"Black Nationalist",,,2018,41.88531,-87.62213,1,place,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Indianapolis,Indiana,,"Black Nationalist",,,2018,39.775092,-86.13216,1,place,,,Indianapolis,IN,"Marion County",46201,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone","Des Moines",Iowa,,"Black Nationalist",,,2018,41.672687,-93.572173,1,place,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",,Louisiana,,"Black Nationalist",,Yes,2018,30.863437,-91.798717,1,state,,,,LA,,,US,"US Census Bureau"
"Great Millstone",Baltimore,Maryland,,"Black Nationalist",,,2018,39.296536,-76.623489,1,place,,,Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Detroit,Michigan,,"Black Nationalist",,,2018,42.347021,-83.060184,1,place,,,Detroit,MI,"Wayne County",48201,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",,Mississippi,,"Black Nationalist",,Yes,2018,32.686471,-89.656138,1,state,,,,MS,,,US,"US Census Bureau"
"Great Millstone","St. Louis",Missouri,,"Black Nationalist",,,2018,38.631501,-90.19231,1,place,,,"Saint Louis",MO,"St. Louis city",63101,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",,Nebraska,,"Black Nationalist",,Yes,2018,41.543301,-99.811862,1,state,,,,NE,,,US,"US Census Bureau"
"Great Millstone","New York","New York",,"Black Nationalist",Yes,,2018,40.68863,-74.018244,1,place,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Charlotte,"North Carolina",,"Black Nationalist",,,2018,35.26002,-80.804151,1,place,,,Charlotte,NC,"Mecklenburg County",28201,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Cleveland,Ohio,,"Black Nationalist",,,2018,41.489381,-81.667486,1,place,,,Cleveland,OH,"Cuyahoga County",44101,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Memphis,Tennessee,,"Black Nationalist",,,2018,35.169255,-89.990415,1,place,,,Memphis,TN,"Shelby County",37501,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Dallas,Texas,,"Black Nationalist",,,2018,32.781179,-96.790329,1,place,,,Dallas,TX,"Dallas County",75201,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone","San Antonio",Texas,,"Black Nationalist",,,2018,29.468413,-98.528889,1,place,,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",Houston,Texas,,"Black Nationalist",,,2018,29.813142,-95.309789,1,place,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Millstone",,Wisconsin,,"Black Nationalist",,Yes,2018,44.630907,-89.709392,1,state,,,,WI,,,US,"US Census Bureau"
"House of David",Brooklyn,"New York",,"Black Nationalist",Yes,,2018,40.63122,-73.941542,1,street_center,,"Brooklyn Rd",Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
"House of Israel",Washington,"District of Columbia",,"Black Nationalist",,,2018,38.911936,-77.016719,1,place,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"House of Israel",Atlanta,Georgia,,"Black Nationalist",,,2018,33.844371,-84.47405,1,place,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
"House of Israel","New York","New York",,"Black Nationalist",Yes,,2018,40.68863,-74.018244,1,place,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"International Society of Indigenous Sovereigns","New York","New York",,"Black Nationalist",Yes,,2018,40.68863,-74.018244,1,place,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ","Center Point",Alabama,,"Black Nationalist",,,2018,33.645658,-86.6836,0.9,place,,,"Center Point",AL,"Jefferson County",35220,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Mobile,Alabama,,"Black Nationalist",,,2018,30.701142,-88.103184,1,place,,,Mobile,AL,"Mobile County",36601,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",,Arkansas,,"Black Nationalist",,Yes,2018,34.895526,-92.444626,1,state,,,,AR,,,US,"US Census Bureau"
"Israel United In Christ",Phoenix,Arizona,,"Black Nationalist",,,2018,33.703967,-112.351835,1,place,,,Phoenix,AZ,"Maricopa County",85001,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ","Los Angeles",California,,"Black Nationalist",,,2018,33.973951,-118.248405,1,place,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Denver,Colorado,,"Black Nationalist",,,2018,39.760189,-104.996553,1,place,,,Denver,CO,"Denver County",80202,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Washington,"District of Columbia",,"Black Nationalist",,,2018,38.911936,-77.016719,1,place,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Orlando,Florida,,"Black Nationalist",,,2018,28.545179,-81.373291,1,place,,,Orlando,FL,"Orange County",32801,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Tallahassee,Florida,,"Black Nationalist",,,2018,30.427753,-84.258472,1,place,,,Tallahassee,FL,"Leon County",32301,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Miami,Florida,,"Black Nationalist",,,2018,25.558428,-80.458168,1,place,,,Miami,FL,"Miami-Dade County",33231,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Jacksonville,Florida,,"Black Nationalist",,,2018,30.337538,-81.768622,1,place,,,Jacksonville,FL,"Duval County",32099,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Savannah,Georgia,,"Black Nationalist",,,2018,32.074679,-81.088261,1,place,,,Savannah,GA,"Chatham County",31401,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Atlanta,Georgia,,"Black Nationalist",,,2018,33.844371,-84.47405,1,place,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Honolulu,Hawaii,,"Black Nationalist",,,2018,24.859832,-168.021815,1,place,,,Honolulu,HI,"Honolulu County",96801,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Chicago,Illinois,,"Black Nationalist",,,2018,41.88531,-87.62213,1,place,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ","Kansas City",Kansas,,"Black Nationalist",,,2018,39.103053,-94.630384,1,place,,,"Kansas City",KS,"Wyandotte County",66101,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Louisville,Kentucky,,"Black Nationalist",,,2018,38.188962,-85.676819,1,place,,,Louisville,KY,"Jefferson County",40201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Lafayette,Louisiana,,"Black Nationalist",,,2018,30.24171,-91.991044,1,place,,,Lafayette,LA,"Lafayette Parish",70501,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ","New Orleans",Louisiana,,"Black Nationalist",,,2018,29.958304,-90.077,1,place,,,"New Orleans",LA,"Orleans Parish",70112,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Boston,Massachusetts,,"Black Nationalist",,,2018,42.370567,-71.026964,1,place,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Detroit,Michigan,,"Black Nationalist",,,2018,42.347021,-83.060184,1,place,,,Detroit,MI,"Wayne County",48201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Jackson,Mississippi,,"Black Nationalist",,,2018,32.289656,-90.184201,1,place,,,Jackson,MS,"Hinds County",39201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ","St. Louis",Missouri,,"Black Nationalist",,,2018,38.631501,-90.19231,1,place,,,"Saint Louis",MO,"St. Louis city",63101,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ","Mount Vernon","New York",,"Black Nationalist",Yes,,2018,40.909838,-73.83389,1,place,,,"Mount Vernon",NY,"Westchester County",10550,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Rochester,"New York",,"Black Nationalist",,,2018,43.286024,-77.684264,1,place,,,Rochester,NY,"Monroe County",14601,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Newark,"New Jersey",,"Black Nationalist",,,2018,40.736101,-74.22509,1,place,,,Newark,NJ,"Essex County",07101,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Concord,"North Carolina",,"Black Nationalist",,,2018,35.371633,-80.562141,1,place,,,Concord,NC,"Cabarrus County",28025,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ","Northern California",California,,"Black Nationalist",,,2018,35.187133,-117.885359,0.22,place,,,"California City",CA,"Kern County",93504,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ","Las Vegas",Nevada,,"Black Nationalist",,,2018,36.17372,-115.10647,1,place,,,"Las Vegas",NV,"Clark County",89101,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Heath,Ohio,,"Black Nationalist",,,2018,40.004407,-82.467105,1,place,,,Heath,OH,"Licking County",43056,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ","Oklahoma City",Oklahoma,,"Black Nationalist",,,2018,35.491608,-97.562817,1,place,,,"Oklahoma City",OK,"Oklahoma County",73101,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Tulsa,Oklahoma,,"Black Nationalist",,,2018,36.039147,-95.868667,1,place,,,Tulsa,OK,"Tulsa County",74101,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Pittsburgh,Pennsylvania,,"Black Nationalist",,,2018,40.47441,-79.950968,1,place,,,Pittsburgh,PA,"Allegheny County",15201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Philadelphia,Pennsylvania,,"Black Nationalist",,,2018,40.001811,-75.11787,1,place,,,Philadelphia,PA,"Philadelphia County",19019,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Columbia,"South Carolina",,"Black Nationalist",,,2018,33.987454,-81.024864,1,place,,,Columbia,SC,"Richland County",29201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Memphis,Tennessee,,"Black Nationalist",,,2018,35.169255,-89.990415,1,place,,,Memphis,TN,"Shelby County",37501,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Nashville,Tennessee,,"Black Nationalist",,,2018,36.165688,-86.778098,1,place,,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ","Corpus Christi",Texas,,"Black Nationalist",,,2018,27.797802,-97.399067,1,place,,,"Corpus Christi",TX,"Nueces County",78401,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Houston,Texas,,"Black Nationalist",,,2018,29.813142,-95.309789,1,place,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ","San Antonio",Texas,,"Black Nationalist",,,2018,29.468413,-98.528889,1,place,,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Austin,Texas,,"Black Nationalist",,,2018,30.326374,-97.771258,1,place,,,Austin,TX,"Travis County",73301,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Dallas,Texas,,"Black Nationalist",,,2018,32.781179,-96.790329,1,place,,,Dallas,TX,"Dallas County",75201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Hampton,Virginia,,"Black Nationalist",,,2018,37.072658,-76.38992,1,place,,,Hampton,VA,"Hampton city",23630,US,"TIGER/Line® dataset from the US Census Bureau"
"Israel United In Christ",Seattle,Washington,,"Black Nationalist",,,2018,47.432251,-121.803388,1,place,,,Seattle,WA,"King County",98060,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite Church of God in Jesus Christ, The","West Palm Beach",Florida,,"Black Nationalist",,,2018,26.715844,-80.070249,1,place,,,"West Palm Beach",FL,"Palm Beach County",33401,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite Church of God in Jesus Christ, The",Baltimore,Maryland,,"Black Nationalist",,,2018,39.296536,-76.623489,1,place,,,Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite Church of God in Jesus Christ, The",Greensboro,"North Carolina",,"Black Nationalist",,,2018,36.069144,-79.765156,1,place,,,Greensboro,NC,"Guilford County",27401,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite Church of God in Jesus Christ, The","New York","New York",,"Black Nationalist",Yes,,2018,40.68863,-74.018244,1,place,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite Church of God in Jesus Christ, The",Philadelphia,Pennsylvania,,"Black Nationalist",,,2018,40.001811,-75.11787,1,place,,,Philadelphia,PA,"Philadelphia County",19019,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite Church of God in Jesus Christ, The",Pittsburgh,Pennsylvania,,"Black Nationalist",,,2018,40.47441,-79.950968,1,place,,,Pittsburgh,PA,"Allegheny County",15201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge","Los Angeles",California,,"Black Nationalist",,,2018,33.973951,-118.248405,1,place,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Oakland,California,,"Black Nationalist",,,2018,37.786027,-122.223779,1,place,,,Oakland,CA,"Alameda County",94601,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Washington,"District of Columbia",,"Black Nationalist",,,2018,38.911936,-77.016719,1,place,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Jacksonville,Florida,,"Black Nationalist",,,2018,30.337538,-81.768622,1,place,,,Jacksonville,FL,"Duval County",32099,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Tampa,Florida,,"Black Nationalist",,,2018,27.996097,-82.582035,1,place,,,Tampa,FL,"Hillsborough County",33601,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Atlanta,Georgia,,"Black Nationalist",,,2018,33.844371,-84.47405,1,place,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Chicago,Illinois,,"Black Nationalist",,,2018,41.88531,-87.62213,1,place,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Indianapolis,Indiana,,"Black Nationalist",,,2018,39.775092,-86.13216,1,place,,,Indianapolis,IN,"Marion County",46201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Louisville,Kentucky,,"Black Nationalist",,,2018,38.188962,-85.676819,1,place,,,Louisville,KY,"Jefferson County",40201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",,Louisiana,,"Black Nationalist",,Yes,2018,30.863437,-91.798717,1,state,,,,LA,,,US,"US Census Bureau"
"Israelite School of Universal Practical Knowledge",Baltimore,Maryland,,"Black Nationalist",Yes,,2018,39.296536,-76.623489,1,place,,,Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Lynn,Massachusetts,,"Black Nationalist",,,2018,42.461246,-70.946743,1,place,,,Lynn,MA,"Essex County",01901,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Detroit,Michigan,,"Black Nationalist",,,2018,42.347021,-83.060184,1,place,,,Detroit,MI,"Wayne County",48201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Minneapolis,Minnesota,,"Black Nationalist",,,2018,44.984577,-93.269097,1,place,,,Minneapolis,MN,"Hennepin County",55401,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",,Mississippi,,"Black Nationalist",,Yes,2018,32.686471,-89.656138,1,state,,,,MS,,,US,"US Census Bureau"
"Israelite School of Universal Practical Knowledge","Kansas City",Missouri,,"Black Nationalist",,,2018,39.102404,-94.598583,1,place,,,"Kansas City",MO,"Jackson County",64101,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge","St. Louis",Missouri,,"Black Nationalist",,,2018,38.631501,-90.19231,1,place,,,"Saint Louis",MO,"St. Louis city",63101,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge","New York","New York",,"Black Nationalist",,,2018,40.68863,-74.018244,1,place,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Syracuse,"New York",,"Black Nationalist",,,2018,43.02143,-76.197701,1,place,,,Syracuse,NY,"Onondaga County",13201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Greensboro,"North Carolina",,"Black Nationalist",,,2018,36.069144,-79.765156,1,place,,,Greensboro,NC,"Guilford County",27401,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Winston-Salem,"North Carolina",,"Black Nationalist",,,2018,36.027482,-80.20728,1,place,,,Winston-Salem,NC,"Forsyth County",27150,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Durham,"North Carolina",,"Black Nationalist",,,2018,35.99924,-78.897944,1,place,,,Durham,NC,"Durham County",27701,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Greenville,"North Carolina",,"Black Nationalist",,,2018,35.580444,-77.392609,1,place,,,Greenville,NC,"Pitt County",27833,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Fayetteville,"North Carolina",,"Black Nationalist",,,2018,35.0748,-78.884257,1,place,,,Fayetteville,NC,"Cumberland County",28301,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Wilmington,"North Carolina",,"Black Nationalist",,,2018,34.271985,-77.963628,1,place,,,Wilmington,NC,"New Hanover County",28401,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Charlotte,"North Carolina",,"Black Nationalist",,,2018,35.26002,-80.804151,1,place,,,Charlotte,NC,"Mecklenburg County",28201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Cincinnati,Ohio,,"Black Nationalist",,,2018,39.166759,-84.53822,1,place,,,Cincinnati,OH,"Hamilton County",45201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge","Oklahoma City",Oklahoma,,"Black Nationalist",,,2018,35.491608,-97.562817,1,place,,,"Oklahoma City",OK,"Oklahoma County",73101,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Portland,Oregon,,"Black Nationalist",,,2018,45.507856,-122.690794,1,place,,,Portland,OR,"Multnomah County",97201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge","Upper Darby",Pennsylvania,,"Black Nationalist",Yes,,2018,39.960411,-75.270393,1,place,,,"Upper Darby",PA,"Delaware County",19082,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Greenville,"South Carolina",,"Black Nationalist",,,2018,34.848567,-82.402871,1,place,,,Greenville,SC,"Greenville County",29601,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Charleston,"South Carolina",,"Black Nationalist",,,2018,32.780326,-79.940844,1,place,,,Charleston,SC,"Charleston County",29401,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Nashville,Tennessee,,"Black Nationalist",,,2018,36.165688,-86.778098,1,place,,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge","Fort Worth",Texas,,"Black Nationalist",,,2018,32.771419,-97.291484,1,place,,,"Fort Worth",TX,"Tarrant County",76101,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Houston,Texas,,"Black Nationalist",,,2018,29.813142,-95.309789,1,place,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite School of Universal Practical Knowledge",Richmond,Virginia,,"Black Nationalist",,,2018,37.524246,-77.493157,1,place,,,Richmond,VA,"Richmond city",23218,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelite the Branches",Baltimore,Maryland,,"Black Nationalist",Yes,,2018,39.296536,-76.623489,1,place,,,Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelites Saints of Christ",Huntsville,Alabama,,"Black Nationalist",,,2018,34.718428,-86.556439,1,place,,,Huntsville,AL,"Madison County",35801,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelites Saints of Christ",,California,,"Black Nationalist",,Yes,2018,37.155177,-119.543418,1,state,,,,CA,,,US,"US Census Bureau"
"Israelites Saints of Christ",Washington,"District of Columbia",,"Black Nationalist",,,2018,38.911936,-77.016719,1,place,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"Israelites Saints of Christ",Savannah,Georgia,,"Black Nationalist",,,2018,32.074679,-81.088261,1,place,,,Savannah,GA,"Chatham County",31401,US,"TIGER/Line® dataset from the US Census Bureau"
